model,fw_ver,fw_url,rel_date,fsize,sha1,md5
DSR-500,R1.08B51,https://www.dlink-jp.com/wp-content/uploads/2011/04/DSR-500_FW_R1.08B51.zip,2013-10-07 00:00:00,26316499,ff2056e5261979e86f9638b3d4a1cab67d0f2440,9f60e68e376b5baceda6f3b423c57bb1
DAP-2690,R3.00,https://www.dlink-jp.com/wp-content/uploads/2013/09/DAP-2690_B1_FW_R3.00_rc028.zip,2013-09-25 00:00:00,5863656,78dcdae9156ebae475f3ae37dd3a70e300bce959,c6e878d319297c8080490d586b98020c
DWL-6600AP,R4.2.0.10,https://www.dlink-jp.com/wp-content/uploads/2012/11/DWL-6600AP_R4.2.0.10.zip,2016-07-01 00:00:00,14764626,6b4d19fcb42ec6800fd2d303f682ccebeadab576,32a9f3e82bca5bbcaf315d61cd301b36
DWL-6600AP,R4.2.0.9.B029,https://www.dlink-jp.com/wp-content/uploads/2012/11/DWL-6600AP_FW_4_2_0_9_B029.zip,2015-12-15 00:00:00,14731244,5ecdad9b198e17d2d5640db205214297af38a7a3,05192d6f3fc93fda59eeb732198b9288
DWL-6600AP,R4.2.0.9,https://www.dlink-jp.com/wp-content/uploads/2012/11/DWL-6600AP_FW_R4.2.0.9_B014.zip,2014-11-07 00:00:00,14586681,9d9e6e914d894e44cea3a887ddcc54598dcf7305,2de0785f0ddbb1eb7d3ae71f1c96fbb2
DAP-2360,R2.06beta03rc042,https://www.dlink-jp.com/wp-content/uploads/2014/08/DAP-2360_R2.06beta03rc042.zip,2016-01-06 00:00:00,17259120,7f356abe71d42689acb119c3f9add26c8170b4f9,da560038451ea80737699b559b8d8ca4
DSR-500,R1.09B61,https://www.dlink-jp.com/wp-content/uploads/2011/04/DSR-500_A1_FW1.09B61.zip,2014-08-12 00:00:00,26775308,25da04721f047134bf2608b55dfbb2aec27ad273,db97ad02b1a9aae3f3cf5544120361f9
DSR-1000,R1.09B61,https://www.dlink-jp.com/wp-content/uploads/2011/04/DSR-1000_A1_FW1.09B61.zip,2014-08-12 00:00:00,26775313,706dd9269adbdbb3e4792d594d23b279611c7c66,1f44b5a54599845d0482ddebddc7d1b6
DFL-860E,R02.40.01.08,https://www.dlink-jp.com/wp-content/uploads/2011/01/DFL-860E_FW_R2.40.01.08.zip,2012-06-29 00:00:00,5835972,4a0a2a5d288b919961c0c5499a1a3be5edaae4db,32162584cb64e11c5ab477a23618b66c
DFL-860E,R02.30.01,https://www.dlink-jp.com/wp-content/uploads/files/DFL-860E_FW_R2.30.01.zip,2011-11-30 00:00:00,5588122,226aa037133df2bab45734b4aa2a2ca198f7e390,e536b4914e1fb1cecfc634117f00c32b
DFL-2560,R02.40.01.08,https://www.dlink-jp.com/wp-content/uploads/files/DFL-2560_FW_R2.40.01.08.zip,2012-06-29 00:00:00,5606217,a742cbe746419fc885001176510f65271c1a0f3c,7073c606e3999c356cc301abceb7be24
DFL-2560,R02.30.01,https://www.dlink-jp.com/wp-content/uploads/files/DFL-2560_FW_R2.30.01.zip,2011-11-30 00:00:00,5416243,46cf97b558b0836484c584ff30de0cab3ff6e930,82c12be0edcec655e127fa18ebb37ecd
DSR-1000,R2.02BD02C,https://www.dlink-jp.com/wp-content/uploads/2011/04/DSR-10001.zip,2015-12-11 00:00:00,49792253,4ee207ebc14ab799357f2339305ab1bb4669ff52,22b7438e8cbd6091a2c8327b780e9944
DFL-2560,R02.27.02,https://www.dlink-jp.com/wp-content/uploads/files/DFL-2560_FW_R2.27.02.zip,2011-01-17 00:00:00,4718572,ca751d1900cd0bf505b410e1479ce3dfa9682712,ce157d71952a7fa3f982a58c1eb828ec
DSR-1000,R1.08B51,https://www.dlink-jp.com/wp-content/uploads/2011/04/DSR-1000_FW_R1.08B51.zip,2013-10-07 00:00:00,26316504,9a532b05c3c5d7199ab3bc0b9b20e945892be8a1,a7707dbd65475751ea13e412a611797b
DMC-1002,R1.18,https://www.dlink-jp.com/wp-content/uploads/files/DMC-1002_FW_R1.18.zip,2010-06-30 00:00:00,1373729,d7d23b9ad11ca0e124a3e8615170e1fb5971395b,1354a2e33ae1940140eedfc50780afa8
DMC-1002,R1.23,https://www.dlink-jp.com/wp-content/uploads/files/DMC-1002_FW_R1.23.zip,2012-08-24 00:00:00,1751512,d52b2dfa51e4717128cfbe356382ef10209ca0f9,5b5893c7d64b4c25f9a7f81e32e87a30
DMC-1002,R1.18,https://www.dlink-jp.com/wp-content/uploads/files/DMC-1002_FW_R1.18.zip,2010-06-30 00:00:00,1373729,d7d23b9ad11ca0e124a3e8615170e1fb5971395b,1354a2e33ae1940140eedfc50780afa8
DMC-1002,R1.23,https://www.dlink-jp.com/wp-content/uploads/files/DMC-1002_FW_R1.23.zip,2012-08-24 00:00:00,1751512,d52b2dfa51e4717128cfbe356382ef10209ca0f9,5b5893c7d64b4c25f9a7f81e32e87a30
DWL-8600AP,R4.3.0.2B04,https://www.dlink-jp.com/wp-content/uploads/2015/06/DWL-8600AP_R4.3.0.2B04.zip,2016-04-11 00:00:00,15210844,4de87059d325c369b4be5d98076d0156272f4873,aa600f6ecb2ee376dd3c6454cdf453a6
DWL-8600AP,R4.3.0.1B003,https://www.dlink-jp.com/wp-content/uploads/2010/03/DWL-8600AP_FW_R4.3.0.1B003.zip,2014-09-16 00:00:00,15309859,e2d6da40938ec77687c67c1406138f6012958814,97d0cc973207a327d04b86855010ae48
DWL-8600AP,R4.1.0.8,https://www.dlink-jp.com/wp-content/uploads/files/DWL-8600AP_FW_R4.1.0.8.zip,2012-06-22 00:00:00,14885725,1d6460073965d2eef3d541aa3b0cdd6e5eaeeed5,e6f9d428b411b19df4fdd62ed9f1af20
DWS-4026,R4.1.0.8,https://www.dlink-jp.com/wp-content/uploads/files/DWS-4026_FW_R4.1.0.8.zip,2012-06-22 00:00:00,11039789,997bfc51b705fae409913ba04fa1b15fb298ccfb,62217d9ef86fadd2087cd040916ee94b
DWS-4026,R4.3.0.3,https://www.dlink-jp.com/wp-content/uploads/2010/03/DWS-4026_RNOTE_R4.3.0.3_B007.zip,2014-06-09 00:00:00,12807221,5336fb6740dedc9304b680c2f9ee6fd2d80c735a,7728914339216107cdf7a58793c40156
DAP-3690,R1.10rc064,https://www.dlink-jp.com/wp-content/uploads/2012/09/DAP-3690_FW_R1.10rc064.zip,2015-04-24 00:00:00,7787875,020795786598e3ac537a689137ab00704a7ca0f5,76275d220a192f4cc379d71e39620708
DGS-3120-24SC（H/W：A1/A2),R3.00.B056,https://www.dlink-jp.com/wp-content/uploads/2013/09/DGS-3120_A1A2_R3.00.B0561.zip,2016-02-18 00:00:00,7213945,2944431346ba3de35b79ba4642e34bc2ae4d787c,2aab8976ced2d7147770bd6118302951
DFL-860E,R02.40.01.08,https://www.dlink-jp.com/wp-content/uploads/2011/01/DFL-860E_FW_R2.40.01.08.zip,2012-06-29 00:00:00,5835972,4a0a2a5d288b919961c0c5499a1a3be5edaae4db,32162584cb64e11c5ab477a23618b66c
DES-3200-28/T,R4.04.B005,https://www.dlink-jp.com/wp-content/uploads/files/DES3200_RUNTIME_V4.04.B005.zip,2013-07-29 00:00:00,6394160,44457ead01c20365c4c7021d714cd43ee4fc8eb9,389a23c60663cbd32c34854963b39a6a
DES-3200-28/T,R4.04.004,https://www.dlink-jp.com/wp-content/uploads/2013/09/DES-3200_SERIES_FW_V4.04.0041.zip,2013-03-25 00:00:00,6435144,cce3c0923db189a045f9f00a29422a1e8018e2e0,1017f73d32aeec015d9d104a4fc51b02
DWS-4026,R4.3.0.3B028,https://www.dlink-jp.com/wp-content/uploads/2015/06/2c6e4b0ab3167fc5f2e980e8f4657958.zip,2016-07-01 00:00:00,12464698,64da14cc35810e3f4dab0a71ad59857282dcbdea,9cd1aa925c16eee9eb7944b65a3645ce
DFL-860E,R02.30.01,https://www.dlink-jp.com/wp-content/uploads/files/DFL-860E_FW_R2.30.01.zip,2011-11-30 00:00:00,5588122,226aa037133df2bab45734b4aa2a2ca198f7e390,e536b4914e1fb1cecfc634117f00c32b
DGS-3120-24SC（H/W：A1/A2),R3.00.B049,https://www.dlink-jp.com/wp-content/uploads/2013/09/DGS-3120_A1A2_FW_R3.00.B0491.zip,2014-10-15 00:00:00,7421895,c0287751bc57baa949ad63119e5c69f8a6ef8ea3,772fe7be903f5648342523da489fb073
DGS-3120-48TC（H/W：A1/A2),R3.00.B037,https://www.dlink-jp.com/wp-content/uploads/2013/09/DGS-3120_A1A2_FW_R3.00.B0375.zip,2014-01-16 00:00:00,7484349,bdbff27a02a1f7a257e5b40497095d57e6b94c8a,ddeb8992cd5a81736f1d2ffa19b3b1e5
DGS-3120-48TC（H/W：A1/A2),R3.00.B056,https://www.dlink-jp.com/wp-content/uploads/2013/09/DGS-3120_A1A2_R3.00.B0562.zip,2016-02-18 00:00:00,7213945,2944431346ba3de35b79ba4642e34bc2ae4d787c,2aab8976ced2d7147770bd6118302951
DGS-3120-24SC（H/W：A1/A2),R3.00.B037,https://www.dlink-jp.com/wp-content/uploads/2013/09/DGS-3120_A1A2_FW_R3.00.B0373.zip,2014-01-16 00:00:00,7484349,bdbff27a02a1f7a257e5b40497095d57e6b94c8a,ddeb8992cd5a81736f1d2ffa19b3b1e5
DGS-3120-48TC（H/W：A1/A2),R3.00.B049,https://www.dlink-jp.com/wp-content/uploads/2013/09/DGS-3120_A1A2_FW_R3.00.B0492.zip,2014-10-15 00:00:00,7421895,c0287751bc57baa949ad63119e5c69f8a6ef8ea3,772fe7be903f5648342523da489fb073
DWL-8500AP,R2.2.0.23,https://www.dlink-jp.com/wp-content/uploads/files/DWL_3500AP_8500AP_FW_R22023.zip,2010-04-08 00:00:00,5888358,1aa94adf82262dc635dae305c4307c062bc7907e,4c8ccebb71104077f9e4c3b496098b99
DWL-8500AP,R3.0.0.16,https://www.dlink-jp.com/wp-content/uploads/files/DWL-3500AP_8500AP_FW_R3.0.0.16.zip,2011-11-30 00:00:00,6359264,7d2ad8d7ca011154dfac0af5d225c193fe31881b,509d7cb2fb47095fd4f2958363d3c5b3
DWL-8500AP,R2.2.0.24,https://www.dlink-jp.com/wp-content/uploads/files/DWL_3500AP_8500AP_FW_R22024.zip,2010-07-26 00:00:00,5888025,f8d1f6918e3451a6492cc839b3be0eb276fd7933,63247dca1036eb66f1bcab5fafc383a5
DXS-3600-32S（SI版）,R2.00.B042,https://dlink-jp.com/wp-content/uploads/2016/10/DXS-3600_FW_R2.00.B042-1.zip,,10172592,a8db89b27358fda6905d27c915d17b4b1a1c1e91,0c9da22dc9ddfbc16bb307b129e3588c
DXS-3600-32S（SI版）,R2.40.046,https://dlink-jp.com/wp-content/uploads/2016/10/DXS-3600-16S_32S_FW-R2.4-1.zip,,22421883,21782e2bd0cfb716573e801fb4afc76b6432ebe9,49dabfe32d3767375c8bd67da27c8dc7
DGS-6600-CM-II,R4.00.B063,https://dlink-jp.com/wp-content/uploads/2013/06/DGS-6600_FW_R4.00.B0631.zip,2015-05-21 00:00:00,306164,798e39a5e212e90e939d0ea80bd109bc4ff5008b,cfd11a2ebe251fadf3f597799ad9ba36
DGS-6608,R4.00.B063,https://dlink-jp.com/wp-content/uploads/2013/06/DGS-6600_FW_R4.00.B06313.zip,2015-05-21 00:00:00,306164,798e39a5e212e90e939d0ea80bd109bc4ff5008b,cfd11a2ebe251fadf3f597799ad9ba36
DXS-3600-16S（SI版）,R2.00.B042,https://dlink-jp.com/wp-content/uploads/2016/10/DXS-3600_FW_R2.00.B042.zip,,10172592,a8db89b27358fda6905d27c915d17b4b1a1c1e91,0c9da22dc9ddfbc16bb307b129e3588c
DGS-1210-10P/GE,R3.12.B023,https://dlink-jp.com/wp-content/uploads/2012/06/DGS-1210-10P_B1_FW_R3.12.B023.zip,2014-12-11 00:00:00,9072216,65888b53e0f1e9c1bb8df3c8ae1133b83947fe7e,f4adbf5fba9276572b40156e289aca7b
DSR-1000N,R1.08B51,https://dlink-jp.com/wp-content/uploads/2011/02/DSR-1000N_FW_R1.08B51.zip,2013-10-07 00:00:00,26316524,f177b56444105f1ee8526801c62bf7f59c886179,6dade70a9a1aae3dbf2b2185b8c72db1
DXS-3600-16S（SI版）,R2.40.046,https://dlink-jp.com/wp-content/uploads/2016/10/DXS-3600-16S_32S_FW-R2.4.zip,,22421883,21782e2bd0cfb716573e801fb4afc76b6432ebe9,49dabfe32d3767375c8bd67da27c8dc7
DGS-6604,R4.00.B063,https://dlink-jp.com/wp-content/uploads/2013/06/DGS-6600_FW_R4.00.B06312.zip,2015-05-21 00:00:00,306164,798e39a5e212e90e939d0ea80bd109bc4ff5008b,cfd11a2ebe251fadf3f597799ad9ba36
DGS-1210-10P/GE,R3.10.B029,https://dlink-jp.com/wp-content/uploads/2012/06/DGS-1210-10P_FW_R3.10.B029.zip,2013-07-22 00:00:00,8933492,0f4da7e771468f05c09baa1d42e4af2fb425ec9e,36344e1030f5341b84aefb6623b021ff
DGS-1210-10P/GE,R3.11.B002,https://dlink-jp.com/wp-content/uploads/2012/06/DGS-1210-10P_FW_R3.11.B002.zip,2013-09-25 00:00:00,8927326,07d1ad22a6512e57562f8639c851247444f575ce,48077474b9e9a7c1092d74ad437d0967
DSR-1000N,R2.02BD02C,https://dlink-jp.com/wp-content/uploads/2011/02/DSR-1000N1.zip,2015-12-11 00:00:00,23714380,005e0893fd2e17e274207ed1e50a126dcc5cd5fa,58cf225959163c651915c8e1d7ecf5bb
DSR-1000N,R1.09B61,https://dlink-jp.com/wp-content/uploads/2011/02/DSR-1000N_A1_FW1.09B61.zip,2014-08-12 00:00:00,26775320,9f036b9928df8ba15fc70c82031cb40563bd84b1,6f045be0b3d5d438f6033757c8139ead
DFL-1660,R2.40.01.08,https://dlink-jp.com/wp-content/uploads/files/DFL-1660_FW_R2.40.01.08.zip,2012-06-29 00:00:00,5606217,8ca831f3d2c7c3314370993fa685c907f6371783,8f7126a5d5cb1189228563aada5454b2
DFL-1660,R2.30.01,https://dlink-jp.com/wp-content/uploads/files/DFL-1660_FW_R2.30.01.zip,2011-11-30 00:00:00,5416242,60338b463db502a596711ad0c84291f2f05ea68e,fc2acdf4c6fe3f1ed1b0ae8871383d65
DFL-1660,R2.27.02,https://dlink-jp.com/wp-content/uploads/files/DFL-1660_FW_R2.27.02.zip,2011-01-17 00:00:00,4718571,271a31904f9bec383e0bce9abc55f0726f677860,49a23c5be6be1df577a77349f4e8ddd2
DGS-1500-20,R2.50.008,https://dlink-jp.com/wp-content/uploads/2012/07/DGS-1500-20_FW_R2.50.008.zip,2014-03-07 00:00:00,9526466,7a34e86578ce4a395bc9b84354afe9b9d6f06f6f,3c4e0c47fec483dab3eb8454dd77f102
DGS-1500-20,R2.51.B008,https://dlink-jp.com/wp-content/uploads/2012/07/DGS-1500-20_FW_R2.51.B008.zip,2014-10-28 00:00:00,9594451,25ce861225bded80f310dae279566d1d9e33dce8,914452bc4cdfb89b5e2f726cb04a9d0d
DGS-6600-CM-II,R4.00.056,https://dlink-jp.com/wp-content/uploads/2013/06/DGS-6600_FW_R4.00.0562.zip,2014-07-17 00:00:00,73586458,0ca0eb07f5e636a23fff4f064c497b5fa7b8d23d,9aed5ae5e11e714757bd6ddc27c7842d
DGS-1500-20,R2.10.002,https://dlink-jp.com/wp-content/uploads/files/DGS-1500-20_FW_R2.10.002.zip,2013-02-15 00:00:00,9554137,a49f4a04e4443667b105972f835ed70a52d30874,2180854b3cab250fd0b264d1d35e331f
DGS-6608,R4.00.056,https://dlink-jp.com/wp-content/uploads/2013/06/DGS-6600_FW_R4.00.0561.zip,2014-07-17 00:00:00,73586458,0ca0eb07f5e636a23fff4f064c497b5fa7b8d23d,9aed5ae5e11e714757bd6ddc27c7842d
DGS-1500-28,R2.51.B008,https://dlink-jp.com/wp-content/uploads/2012/07/DGS-1500-28_FW_R2.51.B008.zip,2014-10-28 00:00:00,9591955,cf8e649e4716a2e991f951fa6ff5f4b5584ac308,87b08b07edee74bfcce1e3023bfb9b47
DGS-1500-28,R2.50.008,https://dlink-jp.com/wp-content/uploads/2012/07/DGS-1500-28_FW_R2.50.008.zip,2014-03-07 00:00:00,9528336,3368999f6b5aaa436e4921fb96935c457497db85,671c33d7afe9c3e6843a31e606871e32
DGS-6604,R4.00.056,https://dlink-jp.com/wp-content/uploads/2013/06/DGS-6600_FW_R4.00.056.zip,2014-07-17 00:00:00,73586458,0ca0eb07f5e636a23fff4f064c497b5fa7b8d23d,9aed5ae5e11e714757bd6ddc27c7842d
DGS-6604,R3.00.080,https://dlink-jp.com/wp-content/uploads/files/DGS-6600_Series_A1_FW_v3.00.080.zip,2013-07-01 00:00:00,66909298,e59c783fad1247015f1039a28ac137d9882dc8d3,75743b038cf00ce7f5eab160ee3d70c7
DGS-1500-28,R2.10.002,https://dlink-jp.com/wp-content/uploads/files/DGS-1500-28_FW_R2.10.002.zip,2013-02-15 00:00:00,9553364,505df3b1fe05a0563f66dbad7f8a11caa3d4cc60,c6bde22be8ac51d602903d12ebaeb224
DGS-1500-52,R2.51.B008,https://dlink-jp.com/wp-content/uploads/2014/09/DGS-1500-52_FW_R2.51.B008.zip,2014-10-28 00:00:00,9609529,3bddfac4e20f1bd927e5789c655987a800fae91d,99d2292df2a6793cc34d29950a41abc5
DGS-1500-52,R2.50.008,https://dlink-jp.com/wp-content/uploads/2012/07/DGS-1500-52_FW_R2.50.008.zip,2014-03-07 00:00:00,9539225,bb118d60d39a49fc39bb5c7c45bcc09834990c54,86b28cb0e43f5c68c791afa347c95ef5
DGS-1500-28P,R2.51.B008,https://dlink-jp.com/wp-content/uploads/2012/07/DGS-1500-28P_FW_R2.51.B008.zip,2014-10-28 00:00:00,9663917,1882f5e861e286b2160838cd78869fa725757fb1,ad089bfc887bfa4a125e95507f2bd4d7
DGS-1500-52,R2.10.002,https://dlink-jp.com/wp-content/uploads/files/DGS-1500-52_FW_R2.10.002.zip,2013-02-15 00:00:00,9570446,764ed2681a4f91cbe3aed9494381dbc0f3a5815b,6d2842991d99b20f04a638ec2fc60929
DES-1100-26,R1.00.B009,https://dlink-jp.com/wp-content/uploads/2011/01/DES-1100-26_FW_V1.00.B009.zip,2014-07-14 00:00:00,943939,0d05accce80bb7e25e1d8d8900fdbe1cb59b4cbe,b9e9669d245df66eb9bd331445bb2e60
DES-3552,R3.00.B021,https://dlink-jp.com/wp-content/uploads/2009/03/DES-3528_3552_FW_R3.00.B0213.zip,2013-02-15 00:00:00,4993748,bfa63162912d7468a9cf2c05a59ad53ec8f6e940,5e038e94d2d6785f5bfc387501c4684f
DGS-1500-28P,R2.50.008,https://dlink-jp.com/wp-content/uploads/2012/07/DGS-1500-28P_FW_R2.50.008.zip,2014-03-07 00:00:00,9602548,c51013db0f0888919baf583c69f9dca80f9ef9f5,b484175b3cd42ad6f8e52c6a2132be14
DES-3552,R2.60.B035,https://dlink-jp.com/wp-content/uploads/2009/03/DES-3528_3552_FW_R2.60.B0351.zip,2011-07-11 00:00:00,4875192,d4776b318dd16819e2457ff31fae539490b73932,e1844d272003d748a00265839f15273d
DGS-3200-10/GE,R2.00.B052,https://dlink-jp.com/wp-content/uploads/2013/09/DGS-3200_FW_R2.00.B052.zip,2014-10-28 00:00:00,4491500,79abd557a27f82e4817b9bda770cb8a0d2866792,c6e5ad2bc5efcaa33761efba704f84bc
DFL-260E,R2.40.01.08,https://dlink-jp.com/wp-content/uploads/2011/01/DFL-260E_FW_R2.40.01.08.zip,2012-06-29 00:00:00,5622713,b34d98c5d75b88ec411d414bf131e1ef4305cd95,1ede716f44b646415349f2fe4faec115
DGS-3200-10/GE,R2.00.B023,https://dlink-jp.com/wp-content/uploads/files/DGS-3200_FW_R2.00.B023.zip,2012-02-01 00:00:00,4337978,3ea0f339f5e922fc8b3f627e7865ec745a5bafd4,85b390acb299797d19c35a6c38f49f7e
DES-3552,R2.21.B059,https://dlink-jp.com/wp-content/uploads/files/DES-3528_3552_FW_R2.21.B059.zip,2010-11-19 00:00:00,4663247,d279215f0236bcdb2d22f1748be92a57df0ae6ac,61df8947698a0a3486c5f23dc1402f7c
DGS-3200-16/GE,R2.00.B052,https://dlink-jp.com/wp-content/uploads/2013/09/DGS-3200_FW_R2.00.B0521.zip,2014-10-28 00:00:00,4491500,79abd557a27f82e4817b9bda770cb8a0d2866792,c6e5ad2bc5efcaa33761efba704f84bc
DFL-260E,R2.30.01,https://dlink-jp.com/wp-content/uploads/files/DFL-260E_FW_R2.30.01.zip,2011-11-30 00:00:00,5394787,f0b0d0b9dc468e30f282a0d3b56512f6b4ef814e,937c1efeff8879ffa777c9e69e5ed0b9
DGS-3200-10/GE,R2.00.B039,https://dlink-jp.com/wp-content/uploads/files/DGS-3200_FW_R2.00.B039.zip,2012-10-29 00:00:00,4357280,790530f4186a7d0e12962b1cf03b4baa8515647e,4341e4bf078050152e1510ec0dc33d4f
DGS-3200-16/GE,R02.00.B039,https://dlink-jp.com/wp-content/uploads/files/DGS-3200_FW_R2.00.B039.zip,2012-10-29 00:00:00,4357280,790530f4186a7d0e12962b1cf03b4baa8515647e,4341e4bf078050152e1510ec0dc33d4f
DGS-1500-28P,R2.10.002,https://dlink-jp.com/wp-content/uploads/files/DGS-1500-28P_FW_R2.10.002.zip,2013-02-15 00:00:00,9619238,18e6d12e624f6c37c05fecf94be6883ffe9b115f,8b3fdbce5f31319598693cb99c9f4c25
DGS-3200-16/GE,R2.00.B023,https://dlink-jp.com/wp-content/uploads/files/DGS-3200_FW_R2.00.B023.zip,2012-02-01 00:00:00,4337978,3ea0f339f5e922fc8b3f627e7865ec745a5bafd4,85b390acb299797d19c35a6c38f49f7e
